0	0.64	0.533333
10	0.5	0.533333
20	0.59	0.533333
30	0.64	0.533333
40	0.61	0.533333
50	0.52	0.533333
60	0.59	0.533333
70	0.58	0.533333
80	0.54	0.533333
90	0.49	0.533333
100	0.5	0.533333
110	0.57	0.538889
120	0.52	0.544444
130	0.52	0.544444
140	0.59	0.544444
150	0.63	0.544444
160	0.62	0.527778
170	0.62	0.527778
180	0.69	0.527778
190	0.56	0.538889
200	0.6	0.538889
210	0.66	0.538889
220	0.56	0.538889
230	0.63	0.538889
240	0.57	0.538889
250	0.59	0.538889
260	0.6	0.538889
270	0.5	0.538889
280	0.55	0.538889
290	0.6	0.538889
300	0.59	0.538889
310	0.61	0.538889
320	0.58	0.538889
330	0.55	0.538889
340	0.57	0.538889
350	0.6	0.538889
360	0.58	0.538889
370	0.59	0.538889
380	0.56	0.538889
390	0.55	0.538889
400	0.57	0.538889
410	0.63	0.538889
420	0.62	0.544444
430	0.54	0.544444
440	0.59	0.538889
450	0.63	0.533333
460	0.63	0.533333
470	0.57	0.527778
480	0.65	0.533333
490	0.62	0.527778
500	0.52	0.527778
510	0.58	0.533333
520	0.55	0.533333
530	0.58	0.533333
540	0.61	0.533333
550	0.64	0.533333
560	0.64	0.538889
570	0.61	0.538889
580	0.53	0.538889
590	0.6	0.533333
600	0.59	0.538889
610	0.67	0.538889
620	0.63	0.538889
630	0.56	0.538889
640	0.54	0.538889
650	0.63	0.538889
660	0.61	0.538889
670	0.59	0.538889
680	0.62	0.538889
690	0.54	0.538889
700	0.61	0.538889
710	0.59	0.538889
720	0.62	0.538889
730	0.62	0.538889
740	0.63	0.538889
750	0.62	0.538889
760	0.61	0.538889
770	0.62	0.538889
780	0.59	0.538889
790	0.58	0.538889
800	0.54	0.538889
810	0.54	0.538889
820	0.56	0.538889
830	0.68	0.538889
840	0.6	0.538889
850	0.58	0.538889
860	0.59	0.538889
870	0.54	0.538889
880	0.56	0.538889
890	0.61	0.538889
900	0.65	0.538889
910	0.67	0.538889
920	0.64	0.544444
930	0.57	0.544444
940	0.63	0.544444
950	0.57	0.544444
960	0.55	0.544444
970	0.62	0.544444
980	0.63	0.538889
990	0.58	0.538889
1000	0.6	0.538889
1010	0.72	0.538889
1020	0.55	0.538889
1030	0.55	0.538889
1040	0.72	0.538889
1050	0.51	0.538889
1060	0.63	0.538889
1070	0.62	0.538889
1080	0.62	0.538889
1090	0.63	0.538889
1100	0.58	0.538889
1110	0.61	0.538889
1120	0.6	0.538889
1130	0.59	0.538889
1140	0.59	0.538889
1150	0.61	0.538889
1160	0.56	0.544444
1170	0.64	0.55
1180	0.63	0.55
1190	0.62	0.55
1200	0.66	0.55
1210	0.66	0.55
1220	0.66	0.55
1230	0.65	0.55
1240	0.52	0.55
1250	0.58	0.544444
1260	0.64	0.55
1270	0.57	0.55
1280	0.54	0.55
1290	0.68	0.544444
1300	0.6	0.538889
1310	0.65	0.538889
1320	0.66	0.538889
1330	0.62	0.527778
1340	0.55	0.527778
1350	0.65	0.538889
1360	0.58	0.527778
1370	0.66	0.527778
1380	0.64	0.533333
1390	0.72	0.533333
1400	0.59	0.533333
1410	0.61	0.533333
1420	0.57	0.527778
1430	0.64	0.533333
1440	0.68	0.533333
1450	0.59	0.533333
1460	0.59	0.527778
1470	0.59	0.527778
1480	0.6	0.527778
1490	0.7	0.527778
1500	0.57	0.527778
1510	0.53	0.527778
1520	0.67	0.527778
1530	0.63	0.527778
1540	0.58	0.527778
1550	0.65	0.527778
1560	0.61	0.527778
1570	0.65	0.527778
1580	0.53	0.527778
1590	0.66	0.527778
1600	0.7	0.527778
1610	0.66	0.527778
1620	0.69	0.527778
1630	0.61	0.527778
1640	0.53	0.516667
1650	0.6	0.522222
1660	0.64	0.522222
1670	0.55	0.522222
1680	0.6	0.522222
1690	0.74	0.522222
1700	0.56	0.522222
1710	0.63	0.527778
1720	0.59	0.522222
1730	0.6	0.522222
1740	0.56	0.522222
1750	0.65	0.533333
1760	0.61	0.527778
1770	0.65	0.527778
1780	0.71	0.527778
1790	0.64	0.533333
1800	0.56	0.522222
1810	0.56	0.527778
1820	0.55	0.527778
1830	0.6	0.527778
1840	0.68	0.533333
1850	0.63	0.522222
1860	0.63	0.522222
1870	0.53	0.522222
1880	0.57	0.522222
1890	0.53	0.522222
1900	0.59	0.522222
1910	0.61	0.522222
1920	0.66	0.527778
1930	0.61	0.527778
1940	0.61	0.522222
1950	0.59	0.522222
1960	0.62	0.522222
1970	0.69	0.527778
